Region,Category,Headline,Summary,URL
Middle East,Politics,Trump hails ‘productive’ call with Turkiye’s Erdogan as visits planned,US President Donald Trump says he wants to work with his Turkish counterpart to end Russia’s war in Ukraine.,https://www.aljazeera.com/news/2025/5/5/erdogan-trump-phone-call-ukraine-russia-war-gaza-syria-us-turkiye-ties
Middle East,Uncategorized,Top UN court dismisses Sudan’s genocide case against UAE,The International Court of Justice dismissed Sudan’s case accusing the UAE of enabling genocide in Darfur.,https://www.aljazeera.com/program/newsfeed/
Middle East,Politics,Fear and intimidation at Newark airport,The harassment I faced returning to the US as a Palestinian-American makes it clear the US government is afraid of me.,https://www.aljazeera.com/opinion/
Middle East,Uncategorized,Israel calls up thousands of reservists to expand Gaza war,Israel’s army is calling up tens of thousands of reservists to expand operations in Gaza.,https://www.aljazeera.com/program/newsfeed/
Middle East,Uncategorized,ICJ dismisses Sudan’s genocide case alleging UAE backing of RSF rebels,Top UN court says it does not have authority to rule on case accusing UAE of arming Rapid Support Forces paramilitary.,https://www.aljazeera.com/news/2025/5/5/icj-dismisses-sudans-genocide-case-alleging-uae-backing-of-rsf-rebels
Middle East,Uncategorized,How RSF is adopting Israel’s ‘template for genocide’ in Sudan,"For years, Israel has used human rights terminology to whitewash killing civilians, now the RSF is doing the same.",https://www.aljazeera.com/news/2025/5/5/how-rsf-is-adopting-israels-template-for-genocide-in-sudan
Middle East,Uncategorized,Attack on Tel Aviv airport shows Israeli air defence “failure”,“There was a belief that people living within Israel would be safe.”,https://www.aljazeera.com/video/2025/5/5/attack-on-tel-aviv-airport-shows-israeli-air-defence
Middle East,Politics,Israel is telling the world that “Gaza is not occupied”,"Law professor Neve Gordon on Gaza’s starvation under blockade, and why Israel is calling up 60,000 more reservists.",https://www.aljazeera.com/program/quotable/
Middle East,Sports,How do you keep going in Gaza when everything tells you to stop?,"I have experienced unimaginable pain of loss and injury, but I continue. I want to live.",https://www.aljazeera.com/opinion/
Middle East,Sports,Israeli soldiers blow up building in Gaza for ‘gender reveal’ party,"‘It’s a boy!’ Israeli soldiers have filmed themselves blowing up a building in Gaza for a ‘gender reveal’,",https://www.aljazeera.com/program/newsfeed/
Middle East,Uncategorized,Sara Netanyahu caught on mic saying ‘fewer’ captives alive than claimed,The families of Israeli captives in Gaza are infuriated after Sara Netanyahu said there were fewer alive than claimed.,https://www.aljazeera.com/program/newsfeed/
Middle East,Uncategorized,Netanyahu says Gaza population to be moved in intensive Israeli operation,"Remarks come as reports say Israel now eyeing occupation of Gaza, control of aid and possible expulsion of Palestinians.",https://www.aljazeera.com/news/2025/5/5/israel-plans-conquest-of-gaza-in-expanded-offensive
Middle East,Uncategorized,Video: Yemen’s Houthis vow to impose a ‘full aerial blockade’ on Israel,Yemen’s Houthi rebels vow to keep firing missiles at Ben Gurion airport to impose a ‘full aerial blockade’ on Israel.,https://www.aljazeera.com/program/newsfeed/
Middle East,Uncategorized,Israel launches air strikes on Yemen a day after Houthi airport attack,Israeli fighter jets strike targets in Yemen a day after Houthis attacked its main airport.,https://www.aljazeera.com/news/liveblog/2025/5/5/live-israeli-forces-kill-24-in-gaza-attack-rescuers-as-siege-continues
